c,n,g,AP,APB-SUMATE,FP,LIBRE,LYP-ADN,MAS-IPSP,PDC,UNIDAD,n,b,v,c_replaced
1219.59,Unidad Educativa La Palma,PDC,74,11,15,55,11,9,222,29,177,52,426,1219.59
122.2449,Escuela Chua Cocani,PDC,52,10,9,13,10,17,462,21,144,35,594,122.2449
1220.60,Escuela José Sampa,PDC,24,5,4,18,3,2,113,4,52,22,173,1220.60
1221.61,Unidad Educativa Luis Espinal,PDC,32,17,10,39,15,19,179,15,211,39,326,1221.61
1223.62,U. Edu. Gualberto Villarroel,PDC,120,22,15,30,9,25,182,21,344,116,424,1223.62
1224.1,Posta De Salud Y Salón De La Comunidad,PDC,14,0,5,4,2,0,49,0,51,8,74,1224.1
1225.63,Unidad Educativa Quila Quila,PDC,50,18,21,43,12,20,143,15,119,69,322,1225.63
123.25755,U.E. Copancara,PDC,47,8,8,5,3,6,135,18,114,28,230,123.25755
1230.65,Colegio 24 de Septiembre   Maragua,PDC,38,6,7,5,4,12,42,5,84,43,119,1230.65
1238.1,Unidad Educativa Tuero Chico,PDC,12,3,5,5,2,7,19,3,48,9,56,1238.1
124.25763,U. E. Jaime Escalante,PDC,98,2,18,14,10,8,205,14,205,78,369,124.25763
1242.1,U. Edu. San Andres De Poroma,AP,202,15,8,17,8,20,163,15,498,114,448,1242.1
1246.1,Unidad Educativa Huañoma,AP,25,4,4,2,3,3,11,1,243,50,53,1246.1
1248.1,Escuela San Salvador de Pojpo,PDC,31,5,7,10,2,5,46,3,67,48,109,1248.1
125.2457,Escuela Franz Tamayo,PDC,136,18,40,24,19,21,428,16,398,101,702,125.2457
1253.1,Unidad Educativa Copavillque,AP,18,6,3,7,1,4,5,3,80,15,47,1253.1
1259.1,Sub Alcaldía De Sapse,PDC,19,4,2,2,2,4,27,3,88,22,63,1259.1
126.25760,U. E. Morocollo,PDC,88,18,30,13,14,39,316,26,286,104,544,126.25760
1260.1,Colegio Rafael Campos De Luje,PDC,27,0,3,0,5,3,41,0,75,22,79,1260.1
1262.66,Unidad Educativa Simón Bolivar La Palca,PDC,7,4,2,1,0,5,34,0,61,21,53,1262.66
1263.1,Unidad Educativa Piocera,AP,32,8,2,2,2,1,14,0,16,9,61,1263.1
1264.1,Unidad Educativa Nicanor Lopez,PDC,120,86,29,289,31,166,425,79,299,78,1225,1264.1
1269.1,Escuela Torrecillas,PDC,8,5,2,15,1,22,31,5,24,8,89,1269.1
127.2414,Escuela Turrini,PDC,36,1,23,1,7,5,91,15,70,39,179,127.2414
1270.1,Escuela Huancarani,PDC,5,4,0,0,0,4,9,0,52,19,22,1270.1
1271.1,Escuela Pinos,AP,16,3,1,2,1,7,6,0,182,24,36,1271.1
1272.1,Escuela  Rodeo Chico,PDC,22,5,5,7,3,7,28,3,237,52,80,1272.1
1273.1,Escuela Tablani,PDC,13,5,2,9,6,7,14,0,172,25,56,1273.1
1275.1,Unidad Educativa Antonio Tovar,PDC,98,25,7,73,10,14,317,18,175,77,562,1275.1
1276.1,Escuela 12 de Octubre,PDC,49,9,8,34,9,13,168,9,222,59,299,1276.1
1278.1,Escuela Luis Evencio Orías,PDC,80,27,10,45,7,17,256,21,147,51,463,1278.1
1279.1,Escuela Mariscal Braun,PDC,16,11,3,6,6,12,72,7,196,49,133,1279.1
128.25758,U. E. Chojñapata,PDC,12,1,4,1,2,3,17,0,45,13,40,128.25758
1280.1,Escuela Cruz Ckasa,PDC,39,9,2,1,13,9,112,7,150,28,192,1280.1
1281.1,Unidad Educativa Jesús Maestro,PDC,36,7,5,8,7,16,54,8,456,51,141,1281.1
1283.1,Col. Jaime De Zudañez,PDC,139,36,12,132,11,48,371,70,378,71,819,1283.1
1283.2,Col. Ignacio Prudencio Bustillos,PDC,160,28,19,81,15,53,212,49,500,145,617,1283.2
1284.1,Unidad Educativa Capilla Llave,AP,24,1,1,0,0,3,13,1,32,6,43,1284.1
1287.1,Unidad Educativa Ricardo Mujia,PDC,123,22,6,45,12,17,318,24,347,87,567,1287.1
1288.1,U.E. 31 de Mayo,PDC,28,4,5,4,4,4,36,0,121,31,85,1288.1
1289.1,Escuela José María Martínez,AP,140,10,9,12,6,3,79,13,259,94,272,1289.1
129.2389,Escuela Seccional Chiñaja,PDC,6,1,7,2,0,4,31,1,45,8,52,129.2389
1292.1,Unidad Educativa Eduardo Avaroa,LIBRE,30,13,2,36,1,2,30,2,47,25,116,1292.1
1293.1,Colegio Franz Tamayo,PDC,256,28,40,82,24,86,432,36,978,173,984,1293.1
1294.1,Escuela Jaime Mendoza,PDC,12,2,3,15,0,7,23,4,41,13,66,1294.1
1295.1,Escuela Jorge Anibarro Zapata,PDC,6,0,3,6,0,3,17,1,63,7,36,1295.1
1298.1,Colegio Antonio José De Sucre,PDC,52,16,6,47,9,15,185,17,227,47,347,1298.1
1299.1,Escuela Rodeo,PDC,1,1,1,1,0,0,11,0,100,4,15,1299.1
